01/27/2022 10:46:55 AM: [ reading vocab files... ]
01/27/2022 10:46:55 AM: [ Reading mid to name map ]
01/27/2022 10:46:55 AM: [ Done.. ]
01/27/2022 10:46:55 AM: [ Total number of entities 273 ]
01/27/2022 10:46:55 AM: [ Total number of relations 6 ]
01/27/2022 10:46:59 AM: [ <tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl.LSTMCell object at 0x0000021B8237B940>: Note that this cell is not optimized for performance. Please use tf.contrib.cudnn_rnn.CudnnLSTM for better performance on GPU. ]
01/27/2022 10:46:59 AM: [ `tf.nn.rnn_cell.MultiRNNCell` is deprecated. This class is equivalent as `tf.keras.layers.StackedRNNCells`, and will be replaced by that in Tensorflow 2.0. ]
01/27/2022 10:47:32 AM: [ batch_counter:  118, num_hits: 659.0000, avg. reward per batch  0.2574, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.4596 ]
01/27/2022 10:47:32 AM: [ batch_counter:  119, num_hits: 736.0000, avg. reward per batch  0.2875, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4628 ]
01/27/2022 10:47:32 AM: [ batch_counter:  120, num_hits: 726.0000, avg. reward per batch  0.2836, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4657 ]
01/27/2022 10:47:33 AM: [ batch_counter:  121, num_hits: 727.0000, avg. reward per batch  0.2840, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4688 ]
01/27/2022 10:47:33 AM: [ batch_counter:  122, num_hits: 790.0000, avg. reward per batch  0.3086, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4723 ]
01/27/2022 10:47:33 AM: [ batch_counter:  123, num_hits: 721.0000, avg. reward per batch  0.2816, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4757 ]
01/27/2022 10:47:33 AM: [ batch_counter:  124, num_hits: 762.0000, avg. reward per batch  0.2977, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4793 ]
01/27/2022 10:47:34 AM: [ batch_counter:  125, num_hits: 757.0000, avg. reward per batch  0.2957, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4825 ]
01/27/2022 10:47:34 AM: [ batch_counter:  126, num_hits: 792.0000, avg. reward per batch  0.3094, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4859 ]
01/27/2022 10:47:34 AM: [ batch_counter:  127, num_hits: 769.0000, avg. reward per batch  0.3004, num_ep_correct  128, avg_ep_correct  1.0000, train loss -0.4893 ]
01/27/2022 10:47:34 AM: [ batch_counter:  128, num_hits: 849.0000, avg. reward per batch  0.3316, num_ep_correct  126, avg_ep_correct  0.9844, train loss -0.4927 ]
