02/01/2022 09:37:55 PM: [ reading vocab files... ]
02/01/2022 09:37:55 PM: [ Reading mid to name map ]
02/01/2022 09:37:55 PM: [ Done.. ]
02/01/2022 09:37:55 PM: [ Total number of entities 273 ]
02/01/2022 09:37:55 PM: [ Total number of relations 6 ]
02/01/2022 09:37:57 PM: [ <tensorflow.python.keras.layers.legacy_rnn.rnn_cell_impl.LSTMCell object at 0x0000023D8334DE20>: Note that this cell is not optimized for performance. Please use tf.contrib.cudnn_rnn.CudnnLSTM for better performance on GPU. ]
02/01/2022 09:37:57 PM: [ `tf.nn.rnn_cell.MultiRNNCell` is deprecated. This class is equivalent as `tf.keras.layers.StackedRNNCells`, and will be replaced by that in Tensorflow 2.0. ]
02/01/2022 09:38:25 PM: [ Hits@1:  0.9583 ]
02/01/2022 09:38:25 PM: [ Hits@3:  0.9583 ]
02/01/2022 09:38:25 PM: [ Hits@5:  0.9583 ]
02/01/2022 09:38:25 PM: [ Hits@10:  0.9583 ]
02/01/2022 09:38:25 PM: [ Hits@20:  0.9583 ]
02/01/2022 09:38:25 PM: [ auc:  0.9583 ]
02/01/2022 09:38:25 PM: [ batch_counter:  101, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2197 ]
02/01/2022 09:38:26 PM: [ batch_counter:  102, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2203 ]
02/01/2022 09:38:26 PM: [ batch_counter:  103, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2210 ]
02/01/2022 09:38:26 PM: [ batch_counter:  104, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2217 ]
02/01/2022 09:38:27 PM: [ batch_counter:  105, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2222 ]
02/01/2022 09:38:27 PM: [ batch_counter:  106, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2228 ]
02/01/2022 09:38:27 PM: [ batch_counter:  107, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2234 ]
02/01/2022 09:38:27 PM: [ batch_counter:  108, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2239 ]
02/01/2022 09:38:28 PM: [ batch_counter:  109, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2245 ]
02/01/2022 09:38:28 PM: [ batch_counter:  110, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2251 ]
02/01/2022 09:38:28 PM: [ batch_counter:  111, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2257 ]
02/01/2022 09:38:29 PM: [ batch_counter:  112, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2262 ]
02/01/2022 09:38:29 PM: [ batch_counter:  113, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2267 ]
02/01/2022 09:38:29 PM: [ batch_counter:  114, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2272 ]
02/01/2022 09:38:29 PM: [ batch_counter:  115, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2277 ]
02/01/2022 09:38:30 PM: [ batch_counter:  116, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2282 ]
02/01/2022 09:38:30 PM: [ batch_counter:  117, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2287 ]
02/01/2022 09:38:30 PM: [ batch_counter:  118, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2292 ]
02/01/2022 09:38:30 PM: [ batch_counter:  119, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2297 ]
02/01/2022 09:38:31 PM: [ batch_counter:  120, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2302 ]
02/01/2022 09:38:31 PM: [ batch_counter:  121, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2307 ]
02/01/2022 09:38:31 PM: [ batch_counter:  122, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2311 ]
02/01/2022 09:38:32 PM: [ batch_counter:  123, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2316 ]
02/01/2022 09:38:32 PM: [ batch_counter:  124, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2320 ]
02/01/2022 09:38:32 PM: [ batch_counter:  125, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2324 ]
02/01/2022 09:38:32 PM: [ batch_counter:  126, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2328 ]
02/01/2022 09:38:33 PM: [ batch_counter:  127, num_hits:  0.0000, avg. reward per batch  0.0000, num_ep_correct    0, avg_ep_correct  0.0000, train loss -0.2333 ]
