id,truncated,total connections,actual connections,appearance count,correct appearances,incorrect appearances
11982,False,12,13,32,0,32
11983,False,9,10,0,0,0
11984,False,10,11,2,0,2
11985,False,28,29,53,1,52
11986,False,17,18,23,1,22
11987,False,5,6,4,0,4
11988,False,10,11,2,1,1
11989,False,15,16,4,1,3
11990,False,7,8,2,0,2
11991,False,17,18,8,0,8
11992,False,3,4,0,0,0
11993,False,27,28,10,0,10
11994,False,12,13,17,0,17
11995,False,28,29,48,0,48
11996,False,13,14,30,0,30
11997,False,11,12,5,0,5
11998,False,10,11,4,0,4
11999,False,7,8,1,0,1
12000,False,9,10,12,0,12
12001,False,25,26,35,0,35
12002,False,10,11,3,0,3
12003,False,8,9,30,3,27
12004,False,8,9,14,0,14
12005,False,3,4,3,0,3
12006,False,21,22,9,0,9
12007,False,12,13,2,0,2
12008,False,17,18,12,0,12
12009,False,8,9,7,0,7
12010,False,7,8,11,0,11
12011,False,8,9,10,0,10
12012,False,29,30,43,0,43
12013,False,16,17,24,0,24
12014,False,8,9,20,5,15
12015,False,7,8,30,4,26
12016,False,10,11,5,0,5
12017,False,16,17,7,0,7
12018,False,14,15,6,1,5
12019,False,7,8,0,0,0
12020,False,17,18,7,1,6
